company;title;totalyearlycompensation;location;yearsofexperience;yearsatcompany;gender;Education
Adobe;Software Engineer;250000;New York, NY;12;3;Male;Master's Degree
Capital One;Software Engineering Manager;247000;Washington, DC;16;3;Male;Master's Degree
Facebook;Data Scientist;450000;San Francisco, CA;11;3.7;Male;Master's Degree
Microsoft;Software Engineer;265000;Redmond, WA;19;1;Male;Master's Degree
Microsoft;Software Engineer;270000;Sunnyvale, CA;5;2;Male;PhD
Facebook;Software Engineer;375000;Seattle, WA;10;4;Male;Master's Degree
Lyft;Software Engineer;418000;Palo Alto, CA;10;0;Male;PhD
Google;Software Engineer;290000;San Francisco, CA;15;2;Male;Master's Degree
Amazon;Software Engineer;380000;San Francisco, CA;10;4;Male;Master's Degree
Facebook;Software Engineer;785000;Seattle, WA;16;0;Male;Master's Degree
Intel;Hardware Engineer;220000;Hillsboro, OR;8;8;Male;PhD
SAP;Software Engineer;122000;Palo Alto, CA;3;3;Male;Master's Degree
Microsoft;Software Engineer;170000;Redmond, WA;6;6;Male;Master's Degree
Lyft;Software Engineer;420000;San Francisco, CA;5;0;Male;Master's Degree
Microsoft;Software Engineering Manager;360000;Redmond, WA;18;0;Female;Master's Degree
Twitter;Software Engineer;240000;Seattle, WA;5;2;Male;Master's Degree
Facebook;Software Engineer;675000;Seattle, WA;17;0;Male;Master's Degree
Facebook;Software Engineer;665000;Bellevue, WA;15;0;Male;Master's Degree
Facebook;Software Engineer;700000;Menlo Park, CA;15;1;Female;PhD
Amazon;Software Engineer;340000;Seattle, WA;5;0;Male;Master's Degree
LinkedIn;Software Engineer;310000;Sunnyvale, CA;5;0;Male;Master's Degree
Goldman Sachs;Software Engineer;310000;New York, NY;10;6;Male;Master's Degree
Microsoft;Software Engineer;235000;Redmond, WA;11;10;Male;Master's Degree
Microsoft;Software Engineer;650000;San Francisco, CA;18;8;Male;Master's Degree
Nvidia;Hardware Engineer;285000;Santa Clara, CA;15;7;Male;Master's Degree
Facebook;Software Engineer;284000;Seattle, WA;10;1;Male;PhD
Google;Software Engineer;213000;Mountain View, CA;1;0;Male;Master's Degree
Microsoft;Software Engineer;270000;Redmond, WA;15;0;Male;Master's Degree
Google;Software Engineer;282000;New York, NY;5;2;Male;PhD
Amazon;Software Engineer;211000;Seattle, WA;8;6;Male;Master's Degree
Microsoft;Software Engineer;280000;Sunnyvale, CA;6;2;Male;PhD
Google;Software Engineer;210000;Sunnyvale, CA;4;1;Male;Master's Degree
Intel;Solution Architect;271000;Hillsboro, OR;10;1;Male;Master's Degree
Apple;Data Scientist;230000;Cupertino, CA;10;0;Male;PhD
Uber;Software Engineer;245000;Palo Alto, CA;3;0;Male;Master's Degree
Uber;Software Engineer;245000;Palo Alto, CA;1;0;Male;Master's Degree
Amazon;Product Manager;240000;San Francisco, CA;15;3;Male;Master's Degree
Facebook;Product Manager;460000;Menlo Park, CA;15;0;Male;Master's Degree
Facebook;Software Engineer;227000;San Francisco, CA;2;0;Male;Master's Degree
Amazon;Software Engineer;252000;Seattle, WA;6;6;Male;Master's Degree
Amazon;Software Engineer;190000;Seattle, WA;4;4;Male;Master's Degree
Salesforce;Software Engineer;280000;San Francisco, CA;10;2;Male;Master's Degree
Google;Product Designer;485000;Mountain View, CA;11;7;Male;Master's Degree
Cisco;Data Scientist;280000;San Francisco, CA;5;0;Male;PhD
VMware;Software Engineering Manager;337000;Palo Alto, CA;19;11;Female;Master's Degree
Google;Software Engineer;208000;New York, NY;2;1.5;Male;Master's Degree
Qualcomm;Software Engineer;175000;San Diego, CA;0;0;Male;PhD
Amazon;Software Engineer;172000;Seattle, WA;3;3;Male;Master's Degree
Facebook;Software Engineer;335000;Menlo Park, CA;12;2;Male;Master's Degree
Amazon;Software Engineer;200000;Seattle, WA;3;3;Male;Master's Degree
VMware;Software Engineer;170000;Palo Alto, CA;3;0;Female;Master's Degree
Microsoft;Software Engineer;200000;Bellevue, WA;7;5;Male;Master's Degree
Intel;Software Engineer;142000;Hillsboro, OR;9;9;Male;Master's Degree
Facebook;Software Engineer;327000;Seattle, WA;7;2;Male;Master's Degree
Amazon;Product Manager;60000;Bangalore, KA, India;5;0;Male;Master's Degree
Nvidia;Software Engineer;199000;Santa Clara, CA;3;0;Male;Master's Degree
JPMorgan Chase;Software Engineer;360000;New York, NY;13;3;Male;Master's Degree
Apple;Software Engineer;270000;Cupertino, CA;8;2;Male;Master's Degree
Google;Product Manager;400000;Boston, MA;8;4;Male;Master's Degree
Google;Software Engineer;291000;Seattle, WA;7;3.5;Male;Master's Degree
Twitter;Product Manager;175000;San Francisco, CA;7;1;Male;Master's Degree
