company,title,totalyearlycompensation,location,yearsofexperience,yearsatcompany,gender,Education
Microsoft,Software Engineer,315000,"Bellevue, WA",8,2,Male,Master's Degree
Google,Product Designer,169000,"Mountain View, CA",0,0,Female,Master's Degree
Google,Software Engineer,491000,"Mountain View, CA",6,3,Male,Master's Degree
Wayfair,Software Engineer,160000,"Boston, MA",4,0,Male,Master's Degree
Netflix,Software Engineer,472000,"Los Gatos, CA",7,2,Male,Master's Degree
Amazon,Software Engineer,240000,"Seattle, WA",7,3,Male,Master's Degree
Walmart Labs,Software Engineering Manager,330000,"San Bruno, CA",17,2,Male,Master's Degree
Facebook,Software Engineering Manager,812000,"Redmond, WA",10,0,Female,Master's Degree
Amazon,Product Manager,340000,"Seattle, WA",16,2,Male,Master's Degree
Google,Software Engineer,322000,"New York, NY",4,1,Male,Master's Degree
Amazon,Data Scientist,180000,"Seattle, WA",5,2.7,Male,Master's Degree
Apple,Software Engineer,273000,"Cupertino, CA",1,1,Male,PhD
Google,Software Engineer,264000,"Sunnyvale, CA",0,0,Male,PhD
Amazon,Product Manager,185000,"Seattle, WA",3,2,Male,Master's Degree
Google,Software Engineer,326000,"Sunnyvale, CA",5,5,Male,Master's Degree
Amazon,Software Engineer,282000,"Seattle, WA",5,0,Male,Master's Degree
Oracle,Software Engineer,355000,"Seattle, WA",16,2,Male,Master's Degree
Apple,Software Engineer,425000,"Cupertino, CA",23,9,Male,Master's Degree
Capital One,Software Engineer,127000,"San Francisco, CA",3,3,Male,Bachelor's Degree
Cisco,Software Engineer,28000,"Bangalore, KA, India",3,3,Male,Master's Degree
Microsoft,Software Engineer,174000,"Redmond, WA",3,3,Male,PhD
Twitter,Data Scientist,232000,"San Francisco, CA",3,1,Female,Master's Degree
SAP,Software Engineer,158000,"Bellevue, WA",13,7,Male,Master's Degree
LinkedIn,Software Engineer,210000,"San Francisco, CA",3,0,Male,Master's Degree
Google,Software Engineer,217000,"Los Angeles, CA",3,0,Male,Master's Degree
Facebook,Software Engineer,198000,"London, EN, United Kingdom",8,3,Male,Master's Degree
Nvidia,Software Engineer,290000,"Boulder, CO",10,1,Male,Master's Degree
Apple,Software Engineer,257000,"Cupertino, CA",0,0,Male,PhD
Facebook,Software Engineer,400000,"Menlo Park, CA",12,2,NA,Master's Degree
Google,Software Engineer,330000,"Sunnyvale, CA",13,10,Male,PhD
Oracle,Software Engineer,115000,"Boulder, CO",7,4,Male,Master's Degree
Salesforce,Software Engineer,310000,"San Francisco, CA",13,5,Male,Master's Degree
Lyft,Software Engineer,460000,"San Francisco, CA",15,0,Male,Master's Degree
Netflix,Data Scientist,420000,"Los Angeles, CA",2,1,Female,PhD
Amazon,Software Engineer,262000,"Palo Alto, CA",4,0,Male,Master's Degree
Microsoft,Software Engineer,174000,"Redmond, WA",0,0,Female,PhD
Twitter,Software Engineering Manager,411000,"Seattle, WA",16,0,Male,Master's Degree
eBay,Software Engineer,200000,"San Jose, CA",1,1,Male,PhD
Microsoft,Software Engineer,268000,"Bellevue, WA",20,0,Male,Master's Degree
Amazon,Software Engineer,147000,"Boston, MA",0,0.5,Male,Master's Degree
Microsoft,Software Engineer,231000,"Redmond, WA",2,0,Male,Master's Degree
Apple,Software Engineer,160000,"Sunnyvale, CA",0,0,Male,Master's Degree
Microsoft,Software Engineer,228000,"Seattle, WA",3,3,Male,Master's Degree
Netflix,Data Scientist,525000,"Los Gatos, CA",9,3,Male,PhD
Google,Software Engineer,365000,"Mountain View, CA",10,7,Male,Master's Degree
Microsoft,Software Engineer,190000,"Redmond, WA",3,0,Male,Master's Degree
Uber,Software Engineer,256000,"San Francisco, CA",6,0,Male,Master's Degree
Qualcomm,Software Engineer,176000,"San Diego, CA",5,1,Male,Master's Degree
Qualcomm,Software Engineer,190000,"San Diego, CA",6,4,Female,Master's Degree
Adobe,Software Engineer,250000,"New York, NY",12,3,Male,Master's Degree
Capital One,Software Engineering Manager,247000,"Washington, DC",16,3,Male,Master's Degree
